Date,Category,Amount,Payment_Mode,Month,Tax
06-05-2025,Food,13995,Card,February,1400
06-05-2025,Food,13450,Online,February,1345
07-05-2025,Rent,11439,Card,November,1144
07-05-2025,Shopping,9577,Online,February,958
10-05-2025,Shopping,13773,Card,May,1377
11-05-2025,Rent,14375,Online,January,1438
11-05-2025,Utilities,452,Online,May,45
11-05-2025,Shopping,4216,Online,June,422
13-05-2025,Food,1767,Card,November,177
13-05-2025,Food,3838,Cash,June,384
14-05-2025,Food,7385,Cash,October,739
15-05-2025,Health,3826,Cash,December,383
16-05-2025,Entertainment,5349,Cash,July,535
17-05-2025,Food,2503,Cash,February,250
17-05-2025,Rent,1107,Cash,April,111
18-05-2025,Health,12498,Online,August,1250
19-05-2025,Entertainment,11795,Cash,June,1180
19-05-2025,Transport,9141,Card,April,914
20-05-2025,Transport,11396,Online,May,1140
20-05-2025,Entertainment,474,Cash,December,47
20-05-2025,Shopping,14215,Cash,January,1422
22-05-2025,Rent,10758,Cash,May,1076
23-05-2025,Entertainment,1318,Card,June,132
24-05-2025,Health,4279,Online,July,428
24-05-2025,Food,9178,Card,October,918
25-05-2025,Rent,683,Card,August,68
25-05-2025,Food,6969,Cash,February,697
25-05-2025,Transport,1896,Card,February,190
25-05-2025,Rent,626,Card,September,63
26-05-2025,Shopping,12768,Online,June,1277
26-05-2025,Utilities,10281,Card,December,1028
27-05-2025,Shopping,6864,Cash,May,686
27-05-2025,Food,11136,Cash,August,1114
30-05-2025,Entertainment,10627,Online,March,1063
30-05-2025,Entertainment,12244,Card,April,1224
31-05-2025,Rent,1898,Cash,December,190
01-06-2025,Shopping,14125,Card,December,1413
02-06-2025,Rent,7202,Card,May,720
04-06-2025,Entertainment,7024,Cash,June,702
05-06-2025,Health,9810,Card,January,981
08-06-2025,Shopping,13861,Online,December,1386
08-06-2025,Utilities,6577,Cash,February,658
08-06-2025,Entertainment,8173,Cash,December,817
09-06-2025,Entertainment,10893,Online,July,1089
14-06-2025,Transport,1416,Card,August,142
15-06-2025,Rent,13087,Card,November,1309
21-06-2025,Health,12865,Cash,September,1287
23-06-2025,Food,8358,Card,March,836
24-06-2025,Rent,9209,Cash,March,921
28-06-2025,Transport,3391,Online,February,339
30-06-2025,Entertainment,406,Cash,January,41
30-06-2025,Rent,12175,Cash,September,1218
30-06-2025,Shopping,9982,Card,May,998
01-07-2025,Health,7110,Card,November,711
04-07-2025,Shopping,12725,Online,September,1273
04-07-2025,Shopping,9656,Cash,November,966
07-07-2025,Shopping,12194,Cash,June,1219
09-07-2025,Transport,5143,Card,March,514
09-07-2025,Transport,3928,Cash,December,393
09-07-2025,Entertainment,9205,Online,September,921
09-07-2025,Entertainment,6752,Card,March,675
10-07-2025,Rent,4899,Cash,December,490
11-07-2025,Food,761,Cash,September,76
13-07-2025,Health,5278,Cash,June,528
14-07-2025,Shopping,6502,Card,March,650
15-07-2025,Rent,12427,Card,March,1243
16-07-2025,Shopping,9888,Card,September,989
16-07-2025,Shopping,7279,Online,May,728
17-07-2025,Shopping,13256,Cash,January,1326
17-07-2025,Utilities,13607,Card,March,1361
17-07-2025,Rent,6642,Cash,September,664
18-07-2025,Entertainment,1063,Online,February,106
18-07-2025,Shopping,1480,Card,October,148
19-07-2025,Food,12423,Card,May,1242
19-07-2025,Health,7391,Card,October,739
19-07-2025,Entertainment,9084,Card,July,908
19-07-2025,Transport,6663,Cash,May,666
20-07-2025,Health,7757,Card,July,776
22-07-2025,Shopping,11927,Online,May,1193
23-07-2025,Transport,12315,Online,April,1232
23-07-2025,Food,9565,Card,June,957
25-07-2025,Utilities,6831,Card,December,683
25-07-2025,Shopping,5997,Cash,April,600
27-07-2025,Rent,786,Card,February,79
27-07-2025,Food,8880,Cash,November,888
28-07-2025,Entertainment,9537,Online,March,954
28-07-2025,Health,4456,Card,June,446
30-07-2025,Shopping,7948,Online,January,795
31-07-2025,Transport,2453,Card,January,245
02-08-2025,Transport,4011,Online,August,401
03-08-2025,Entertainment,5470,Card,December,547
09-08-2025,Shopping,1017,Cash,May,102
10-08-2025,Transport,4545,Cash,October,455
15-08-2025,Rent,2569,Cash,January,257
16-08-2025,Health,14888,Online,April,1489
18-08-2025,Food,11314,Cash,February,1131
23-08-2025,Utilities,7080,Card,November,708
23-08-2025,Rent,992,Cash,September,99
24-08-2025,Health,3812,Card,July,381
26-08-2025,Shopping,2303,Cash,January,230
27-08-2025,Transport,9142,Online,February,914
29-08-2025,Utilities,9639,Card,April,964
29-08-2025,Rent,12180,Card,May,1218
30-08-2025,Rent,5758,Card,December,576
30-08-2025,Transport,7805,Cash,January,781
31-08-2025,Transport,3738,Cash,March,374
31-08-2025,Utilities,14890,Cash,February,1489
01-09-2025,Health,12191,Cash,September,1219
02-09-2025,Rent,878,Online,February,88
03-09-2025,Utilities,10837,Cash,March,1084
03-09-2025,Rent,8420,Card,May,842
04-09-2025,Food,369,Card,April,37
04-09-2025,Entertainment,674,Card,December,67
04-09-2025,Transport,2164,Card,June,216
04-09-2025,Health,7524,Card,February,752
06-09-2025,Food,12360,Cash,December,1236
08-09-2025,Shopping,9113,Card,February,911
11-09-2025,Food,11183,Card,October,1118
11-09-2025,Utilities,5446,Online,October,545
15-09-2025,Health,10740,Cash,October,1074
16-09-2025,Health,12957,Cash,January,1296
16-09-2025,Rent,3274,Cash,March,327
17-09-2025,Health,7332,Cash,March,733
17-09-2025,Utilities,9733,Cash,February,973
19-09-2025,Shopping,7933,Card,May,793
19-09-2025,Food,13125,Cash,December,1313
24-09-2025,Rent,9745,Online,June,975
25-09-2025,Rent,205,Cash,April,21
25-09-2025,Transport,381,Card,November,38
25-09-2025,Utilities,9767,Card,March,977
27-09-2025,Health,2834,Online,November,283
29-09-2025,Transport,7100,Card,February,710
29-09-2025,Transport,10824,Card,August,1082
29-09-2025,Utilities,1707,Online,January,171
30-09-2025,Entertainment,1494,Online,September,149
01-10-2025,Utilities,307,Cash,September,31
01-10-2025,Health,9198,Cash,December,920
01-10-2025,Transport,13731,Cash,July,1373
02-10-2025,Health,9608,Card,March,961
02-10-2025,Food,12994,Online,June,1299
03-10-2025,Rent,10147,Online,March,1015
04-10-2025,Food,13087,Online,December,1309
07-10-2025,Food,4911,Card,June,491
08-10-2025,Transport,8294,Card,February,829
09-10-2025,Rent,10000,Online,August,1000
09-10-2025,Rent,10008,Online,February,1001
09-10-2025,Health,11115,Cash,June,1112
10-10-2025,Entertainment,9178,Online,January,918
13-10-2025,Food,13497,Card,August,1350
14-10-2025,Transport,3783,Cash,October,378
14-10-2025,Food,8205,Online,August,821
15-10-2025,Food,113,Card,April,11
16-10-2025,Rent,1140,Card,July,114
17-10-2025,Transport,5442,Card,May,544
17-10-2025,Food,12740,Cash,November,1274
17-10-2025,Food,3292,Cash,June,329
18-10-2025,Shopping,1400,Card,April,140
18-10-2025,Shopping,3668,Card,June,367
